# --------------------------------------------------------------------
# USE OF NOAA GML DATA
# 
# These data are made freely available to the public and the
# scientific community in the belief that their wide dissemination
# will lead to greater understanding and new scientific insights.
# The availability of these data does not constitute publication
# of the data.  NOAA relies on the ethics and integrity of the user to
# ensure that GML receives fair credit for their work.  If the data 
# are obtained for potential use in a publication or presentation, 
# GML should be informed at the outset of the nature of this work.  
# If the GML data are essential to the work, or if an important 
# result or conclusion depends on the GML data, co-authorship
# may be appropriate.  This should be discussed at an early stage in
# the work.  Manuscripts using the GML data should be sent to GML
# for review before they are submitted for publication so we can
# ensure that the quality and limitations of the data are accurately
# represented.
# 
# Contact:  Kirk Thoning (303 497 6078; kirk.w.thoning@noaa.gov)
# 
# File Creation: Tue Dec 20 05:00:39 2022
# 
# RECIPROCITY
# 
# Use of these data implies an agreement to reciprocate.
# Laboratories making similar measurements agree to make their
# own data available to the general public and to the scientific
# community in an equally complete and easily accessible form.
# Modelers are encouraged to make available to the community,
# upon request, their own tools used in the interpretation
# of the GML data, namely well documented model code, transport
# fields, modeled mole fractions, and additional information 
# necessary for other scientists to repeat the work and to run 
# modified versions. Model availability includes collaborative 
# support for new users of the models.
# --------------------------------------------------------------------
# 
# 
# See gml.noaa.gov/ccgg/trends/ for additional details.
# 
year,month,day,smoothed,trend
2012, 3,15,  393.66,  391.95
2012, 3,16,  393.68,  391.95
2012, 3,17,  393.69,  391.96
2012, 3,18,  393.71,  391.97
2012, 3,19,  393.73,  391.97
2012, 3,20,  393.75,  391.98
2012, 3,21,  393.77,  391.99
2012, 3,22,  393.79,  391.99
2012, 3,23,  393.81,  392.00
2012, 3,24,  393.83,  392.01
2012, 3,25,  393.85,  392.01
2012, 3,26,  393.88,  392.02
2012, 3,27,  393.90,  392.03
2012, 3,28,  393.92,  392.03
2012, 3,29,  393.95,  392.04
2012, 3,30,  393.97,  392.05
2012, 3,31,  393.99,  392.05
2012, 4, 1,  394.02,  392.06
2012, 4, 2,  394.04,  392.07
2012, 4, 3,  394.06,  392.08
2012, 4, 4,  394.09,  392.08
2012, 4, 5,  394.11,  392.09
2012, 4, 6,  394.13,  392.10
2012, 4, 7,  394.16,  392.10
2012, 4, 8,  394.18,  392.11
2012, 4, 9,  394.20,  392.12
2012, 4,10,  394.23,  392.12
2012, 4,11,  394.25,  392.13
2012, 4,12,  394.27,  392.14
2012, 4,13,  394.29,  392.14
2012, 4,14,  394.31,  392.15
2012, 4,15,  394.33,  392.16
2012, 4,16,  394.35,  392.16
2012, 4,17,  394.37,  392.17
2012, 4,18,  394.39,  392.18
2012, 4,19,  394.41,  392.19
2012, 4,20,  394.43,  392.19
2012, 4,21,  394.45,  392.20
2012, 4,22,  394.46,  392.21
2012, 4,23,  394.48,  392.21
2012, 4,24,  394.49,  392.22
2012, 4,25,  394.51,  392.23
2012, 4,26,  394.52,  392.23
2012, 4,27,  394.53,  392.24
2012, 4,28,  394.54,  392.25
2012, 4,29,  394.55,  392.25
2012, 4,30,  394.56,  392.26
2012, 5, 1,  394.57,  392.27
2012, 5, 2,  394.58,  392.28
2012, 5, 3,  394.58,  392.28
2012, 5, 4,  394.59,  392.29
2012, 5, 5,  394.59,  392.30
2012, 5, 6,  394.59,  392.30
2012, 5, 7,  394.59,  392.31
2012, 5, 8,  394.59,  392.32
2012, 5, 9,  394.59,  392.32
2012, 5,10,  394.59,  392.33
2012, 5,11,  394.59,  392.34
2012, 5,12,  394.58,  392.35
2012, 5,13,  394.57,  392.35
2012, 5,14,  394.57,  392.36
2012, 5,15,  394.56,  392.37
2012, 5,16,  394.55,  392.37
2012, 5,17,  394.53,  392.38
2012, 5,18,  394.52,  392.39
2012, 5,19,  394.50,  392.40
2012, 5,20,  394.48,  392.40
2012, 5,21,  394.47,  392.41
2012, 5,22,  394.44,  392.42
2012, 5,23,  394.42,  392.42
2012, 5,24,  394.40,  392.43
2012, 5,25,  394.37,  392.44
2012, 5,26,  394.34,  392.45
2012, 5,27,  394.31,  392.45
2012, 5,28,  394.28,  392.46
2012, 5,29,  394.25,  392.47
2012, 5,30,  394.21,  392.47
2012, 5,31,  394.18,  392.48
2012, 6, 1,  394.14,  392.49
2012, 6, 2,  394.10,  392.50
2012, 6, 3,  394.05,  392.50
2012, 6, 4,  394.01,  392.51
2012, 6, 5,  393.96,  392.52
2012, 6, 6,  393.91,  392.53
2012, 6, 7,  393.86,  392.53
2012, 6, 8,  393.81,  392.54
2012, 6, 9,  393.75,  392.55
2012, 6,10,  393.70,  392.55
2012, 6,11,  393.64,  392.56
2012, 6,12,  393.58,  392.57
2012, 6,13,  393.52,  392.58
2012, 6,14,  393.45,  392.58
2012, 6,15,  393.39,  392.59
2012, 6,16,  393.32,  392.60
2012, 6,17,  393.25,  392.61
2012, 6,18,  393.18,  392.61
2012, 6,19,  393.11,  392.62
2012, 6,20,  393.03,  392.63
2012, 6,21,  392.96,  392.63
2012, 6,22,  392.88,  392.64
2012, 6,23,  392.80,  392.65
2012, 6,24,  392.72,  392.66
2012, 6,25,  392.64,  392.66
2012, 6,26,  392.56,  392.67
2012, 6,27,  392.48,  392.68
2012, 6,28,  392.39,  392.69
2012, 6,29,  392.31,  392.69
2012, 6,30,  392.22,  392.70
2012, 7, 1,  392.13,  392.71
2012, 7, 2,  392.05,  392.72
2012, 7, 3,  391.96,  392.72
2012, 7, 4,  391.87,  392.73
2012, 7, 5,  391.78,  392.74
2012, 7, 6,  391.69,  392.75
2012, 7, 7,  391.60,  392.75
2012, 7, 8,  391.51,  392.76
2012, 7, 9,  391.42,  392.77
2012, 7,10,  391.34,  392.78
2012, 7,11,  391.25,  392.78
2012, 7,12,  391.16,  392.79
2012, 7,13,  391.07,  392.80
2012, 7,14,  390.99,  392.81
2012, 7,15,  390.90,  392.81
2012, 7,16,  390.82,  392.82
2012, 7,17,  390.73,  392.83
2012, 7,18,  390.65,  392.84
2012, 7,19,  390.57,  392.84
2012, 7,20,  390.49,  392.85
2012, 7,21,  390.41,  392.86
2012, 7,22,  390.34,  392.87
2012, 7,23,  390.26,  392.87
2012, 7,24,  390.19,  392.88
2012, 7,25,  390.12,  392.89
2012, 7,26,  390.05,  392.90
2012, 7,27,  389.98,  392.90
2012, 7,28,  389.92,  392.91
2012, 7,29,  389.86,  392.92
2012, 7,30,  389.80,  392.93
2012, 7,31,  389.74,  392.94
2012, 8, 1,  389.68,  392.94
2012, 8, 2,  389.63,  392.95
2012, 8, 3,  389.58,  392.96
2012, 8, 4,  389.53,  392.97
2012, 8, 5,  389.49,  392.97
2012, 8, 6,  389.45,  392.98
2012, 8, 7,  389.41,  392.99
2012, 8, 8,  389.37,  393.00
2012, 8, 9,  389.34,  393.00
2012, 8,10,  389.31,  393.01
2012, 8,11,  389.28,  393.02
2012, 8,12,  389.26,  393.03
2012, 8,13,  389.24,  393.04
2012, 8,14,  389.22,  393.04
2012, 8,15,  389.20,  393.05
2012, 8,16,  389.19,  393.06
2012, 8,17,  389.18,  393.07
2012, 8,18,  389.17,  393.07
2012, 8,19,  389.16,  393.08
2012, 8,20,  389.16,  393.09
2012, 8,21,  389.16,  393.10
2012, 8,22,  389.17,  393.11
2012, 8,23,  389.17,  393.11
2012, 8,24,  389.18,  393.12
2012, 8,25,  389.19,  393.13
2012, 8,26,  389.20,  393.14
2012, 8,27,  389.22,  393.14
2012, 8,28,  389.24,  393.15
2012, 8,29,  389.26,  393.16
2012, 8,30,  389.28,  393.17
2012, 8,31,  389.31,  393.18
2012, 9, 1,  389.33,  393.18
2012, 9, 2,  389.36,  393.19
2012, 9, 3,  389.40,  393.20
2012, 9, 4,  389.43,  393.21
2012, 9, 5,  389.46,  393.22
2012, 9, 6,  389.50,  393.22
2012, 9, 7,  389.54,  393.23
2012, 9, 8,  389.58,  393.24
2012, 9, 9,  389.62,  393.25
2012, 9,10,  389.67,  393.25
2012, 9,11,  389.71,  393.26
2012, 9,12,  389.76,  393.27
2012, 9,13,  389.81,  393.28
2012, 9,14,  389.86,  393.29
2012, 9,15,  389.91,  393.29
2012, 9,16,  389.96,  393.30
2012, 9,17,  390.01,  393.31
2012, 9,18,  390.07,  393.32
2012, 9,19,  390.13,  393.33
2012, 9,20,  390.18,  393.33
2012, 9,21,  390.24,  393.34
2012, 9,22,  390.30,  393.35
2012, 9,23,  390.36,  393.36
2012, 9,24,  390.42,  393.37
2012, 9,25,  390.48,  393.37
2012, 9,26,  390.54,  393.38
2012, 9,27,  390.61,  393.39
2012, 9,28,  390.67,  393.40
2012, 9,29,  390.74,  393.41
2012, 9,30,  390.80,  393.41
2012,10, 1,  390.87,  393.42
2012,10, 2,  390.93,  393.43
2012,10, 3,  391.00,  393.44
2012,10, 4,  391.07,  393.45
2012,10, 5,  391.14,  393.45
2012,10, 6,  391.20,  393.46
2012,10, 7,  391.27,  393.47
2012,10, 8,  391.34,  393.48
2012,10, 9,  391.41,  393.49
2012,10,10,  391.48,  393.49
2012,10,11,  391.55,  393.50
2012,10,12,  391.62,  393.51
2012,10,13,  391.69,  393.52
2012,10,14,  391.76,  393.53
2012,10,15,  391.83,  393.54
2012,10,16,  391.90,  393.54
2012,10,17,  391.97,  393.55
2012,10,18,  392.05,  393.56
2012,10,19,  392.12,  393.57
2012,10,20,  392.19,  393.58
2012,10,21,  392.26,  393.58
2012,10,22,  392.33,  393.59
2012,10,23,  392.40,  393.60
2012,10,24,  392.47,  393.61
2012,10,25,  392.54,  393.62
2012,10,26,  392.60,  393.62
2012,10,27,  392.67,  393.63
2012,10,28,  392.74,  393.64
2012,10,29,  392.81,  393.65
2012,10,30,  392.87,  393.66
2012,10,31,  392.94,  393.67
2012,11, 1,  393.01,  393.67
2012,11, 2,  393.07,  393.68
2012,11, 3,  393.13,  393.69
2012,11, 4,  393.20,  393.70
2012,11, 5,  393.26,  393.71
2012,11, 6,  393.32,  393.71
2012,11, 7,  393.38,  393.72
2012,11, 8,  393.44,  393.73
2012,11, 9,  393.50,  393.74
2012,11,10,  393.55,  393.75
2012,11,11,  393.61,  393.76
2012,11,12,  393.66,  393.76
2012,11,13,  393.72,  393.77
2012,11,14,  393.77,  393.78
2012,11,15,  393.82,  393.79
2012,11,16,  393.87,  393.80
2012,11,17,  393.91,  393.81
2012,11,18,  393.96,  393.81
2012,11,19,  394.01,  393.82
2012,11,20,  394.05,  393.83
2012,11,21,  394.09,  393.84
2012,11,22,  394.13,  393.85
2012,11,23,  394.17,  393.85
2012,11,24,  394.21,  393.86
2012,11,25,  394.25,  393.87
2012,11,26,  394.28,  393.88
2012,11,27,  394.32,  393.89
2012,11,28,  394.35,  393.90
2012,11,29,  394.38,  393.90
2012,11,30,  394.41,  393.91
2012,12, 1,  394.44,  393.92
2012,12, 2,  394.47,  393.93
2012,12, 3,  394.50,  393.94
2012,12, 4,  394.53,  393.95
2012,12, 5,  394.55,  393.95
2012,12, 6,  394.58,  393.96
2012,12, 7,  394.60,  393.97
2012,12, 8,  394.62,  393.98
2012,12, 9,  394.64,  393.99
2012,12,10,  394.67,  394.00
2012,12,11,  394.69,  394.00
2012,12,12,  394.71,  394.01
2012,12,13,  394.73,  394.02
2012,12,14,  394.75,  394.03
2012,12,15,  394.76,  394.04
2012,12,16,  394.78,  394.04
2012,12,17,  394.80,  394.05
2012,12,18,  394.82,  394.06
2012,12,19,  394.84,  394.07
2012,12,20,  394.86,  394.08
2012,12,21,  394.87,  394.09
2012,12,22,  394.89,  394.09
2012,12,23,  394.91,  394.10
2012,12,24,  394.93,  394.11
2012,12,25,  394.95,  394.12
2012,12,26,  394.97,  394.13
2012,12,27,  394.99,  394.14
2012,12,28,  395.01,  394.14
2012,12,29,  395.03,  394.15
2012,12,30,  395.05,  394.16
2012,12,31,  395.07,  394.17
2013, 1, 1,  395.09,  394.18
2013, 1, 2,  395.11,  394.19
2013, 1, 3,  395.13,  394.19
2013, 1, 4,  395.16,  394.20
2013, 1, 5,  395.18,  394.21
2013, 1, 6,  395.21,  394.22
2013, 1, 7,  395.23,  394.23
2013, 1, 8,  395.26,  394.24
2013, 1, 9,  395.28,  394.24
2013, 1,10,  395.31,  394.25
2013, 1,11,  395.34,  394.26
2013, 1,12,  395.36,  394.27
2013, 1,13,  395.39,  394.28
2013, 1,14,  395.42,  394.28
2013, 1,15,  395.45,  394.29
2013, 1,16,  395.48,  394.30
2013, 1,17,  395.51,  394.31
2013, 1,18,  395.54,  394.32
2013, 1,19,  395.57,  394.33
2013, 1,20,  395.60,  394.33
2013, 1,21,  395.63,  394.34
2013, 1,22,  395.66,  394.35
2013, 1,23,  395.69,  394.36
2013, 1,24,  395.72,  394.37
2013, 1,25,  395.75,  394.38
2013, 1,26,  395.78,  394.38
2013, 1,27,  395.81,  394.39
2013, 1,28,  395.84,  394.40
2013, 1,29,  395.87,  394.41
2013, 1,30,  395.90,  394.42
2013, 1,31,  395.93,  394.43
2013, 2, 1,  395.96,  394.43
2013, 2, 2,  395.99,  394.44
2013, 2, 3,  396.01,  394.45
2013, 2, 4,  396.04,  394.46
2013, 2, 5,  396.06,  394.47
2013, 2, 6,  396.09,  394.47
2013, 2, 7,  396.11,  394.48
2013, 2, 8,  396.14,  394.49
2013, 2, 9,  396.16,  394.50
2013, 2,10,  396.18,  394.51
2013, 2,11,  396.20,  394.52
2013, 2,12,  396.22,  394.52
2013, 2,13,  396.24,  394.53
2013, 2,14,  396.25,  394.54
2013, 2,15,  396.27,  394.55
2013, 2,16,  396.28,  394.56
2013, 2,17,  396.30,  394.56
2013, 2,18,  396.31,  394.57
2013, 2,19,  396.32,  394.58
2013, 2,20,  396.33,  394.59
2013, 2,21,  396.34,  394.60
2013, 2,22,  396.35,  394.61
2013, 2,23,  396.36,  394.61
2013, 2,24,  396.37,  394.62
2013, 2,25,  396.37,  394.63
2013, 2,26,  396.38,  394.64
2013, 2,27,  396.38,  394.65
2013, 2,28,  396.39,  394.65
2013, 3, 1,  396.39,  394.66
2013, 3, 2,  396.40,  394.67
2013, 3, 3,  396.40,  394.68
2013, 3, 4,  396.40,  394.69
2013, 3, 5,  396.40,  394.70
2013, 3, 6,  396.40,  394.70
2013, 3, 7,  396.41,  394.71
2013, 3, 8,  396.41,  394.72
2013, 3, 9,  396.41,  394.73
2013, 3,10,  396.41,  394.74
2013, 3,11,  396.41,  394.74
2013, 3,12,  396.41,  394.75
2013, 3,13,  396.41,  394.76
2013, 3,14,  396.42,  394.77
2013, 3,15,  396.42,  394.78
2013, 3,16,  396.42,  394.78
2013, 3,17,  396.42,  394.79
2013, 3,18,  396.43,  394.80
2013, 3,19,  396.43,  394.81
2013, 3,20,  396.44,  394.82
2013, 3,21,  396.44,  394.82
2013, 3,22,  396.45,  394.83
2013, 3,23,  396.46,  394.84
2013, 3,24,  396.47,  394.85
2013, 3,25,  396.48,  394.86
2013, 3,26,  396.49,  394.86
2013, 3,27,  396.50,  394.87
2013, 3,28,  396.51,  394.88
2013, 3,29,  396.52,  394.89
2013, 3,30,  396.54,  394.90
2013, 3,31,  396.55,  394.90
2013, 4, 1,  396.57,  394.91
2013, 4, 2,  396.59,  394.92
2013, 4, 3,  396.61,  394.93
2013, 4, 4,  396.63,  394.94
2013, 4, 5,  396.65,  394.94
2013, 4, 6,  396.67,  394.95
2013, 4, 7,  396.69,  394.96
2013, 4, 8,  396.71,  394.97
2013, 4, 9,  396.74,  394.97
2013, 4,10,  396.76,  394.98
2013, 4,11,  396.79,  394.99
2013, 4,12,  396.82,  395.00
2013, 4,13,  396.84,  395.01
2013, 4,14,  396.87,  395.01
2013, 4,15,  396.90,  395.02
2013, 4,16,  396.93,  395.03
2013, 4,17,  396.96,  395.04
2013, 4,18,  396.99,  395.04
2013, 4,19,  397.02,  395.05
2013, 4,20,  397.05,  395.06
2013, 4,21,  397.08,  395.07
2013, 4,22,  397.11,  395.08
2013, 4,23,  397.14,  395.08
2013, 4,24,  397.17,  395.09
2013, 4,25,  397.20,  395.10
2013, 4,26,  397.23,  395.11
2013, 4,27,  397.25,  395.11
2013, 4,28,  397.28,  395.12
2013, 4,29,  397.31,  395.13
2013, 4,30,  397.33,  395.14
2013, 5, 1,  397.36,  395.15
2013, 5, 2,  397.38,  395.15
2013, 5, 3,  397.40,  395.16
2013, 5, 4,  397.42,  395.17
2013, 5, 5,  397.44,  395.18
2013, 5, 6,  397.46,  395.18
2013, 5, 7,  397.48,  395.19
2013, 5, 8,  397.49,  395.20
2013, 5, 9,  397.51,  395.21
2013, 5,10,  397.52,  395.21
2013, 5,11,  397.53,  395.22
2013, 5,12,  397.53,  395.23
2013, 5,13,  397.54,  395.24
2013, 5,14,  397.54,  395.24
2013, 5,15,  397.54,  395.25
2013, 5,16,  397.54,  395.26
2013, 5,17,  397.54,  395.27
2013, 5,18,  397.54,  395.27
2013, 5,19,  397.53,  395.28
2013, 5,20,  397.52,  395.29
2013, 5,21,  397.51,  395.30
2013, 5,22,  397.49,  395.30
2013, 5,23,  397.47,  395.31
2013, 5,24,  397.45,  395.32
2013, 5,25,  397.43,  395.33
2013, 5,26,  397.41,  395.33
2013, 5,27,  397.38,  395.34
2013, 5,28,  397.35,  395.35
2013, 5,29,  397.32,  395.36
2013, 5,30,  397.29,  395.36
2013, 5,31,  397.25,  395.37
2013, 6, 1,  397.21,  395.38
2013, 6, 2,  397.17,  395.39
2013, 6, 3,  397.13,  395.39
2013, 6, 4,  397.09,  395.40
2013, 6, 5,  397.04,  395.41
2013, 6, 6,  396.99,  395.41
2013, 6, 7,  396.94,  395.42
2013, 6, 8,  396.89,  395.43
2013, 6, 9,  396.84,  395.44
2013, 6,10,  396.78,  395.44
2013, 6,11,  396.72,  395.45
2013, 6,12,  396.66,  395.46
2013, 6,13,  396.60,  395.47
2013, 6,14,  396.54,  395.47
2013, 6,15,  396.48,  395.48
2013, 6,16,  396.41,  395.49
2013, 6,17,  396.35,  395.49
2013, 6,18,  396.28,  395.50
2013, 6,19,  396.21,  395.51
2013, 6,20,  396.14,  395.52
2013, 6,21,  396.07,  395.52
2013, 6,22,  396.00,  395.53
2013, 6,23,  395.93,  395.54
2013, 6,24,  395.86,  395.54
2013, 6,25,  395.79,  395.55
2013, 6,26,  395.72,  395.56
2013, 6,27,  395.64,  395.57
2013, 6,28,  395.57,  395.57
2013, 6,29,  395.50,  395.58
2013, 6,30,  395.42,  395.59
2013, 7, 1,  395.35,  395.59
2013, 7, 2,  395.28,  395.60
2013, 7, 3,  395.20,  395.61
2013, 7, 4,  395.13,  395.61
2013, 7, 5,  395.06,  395.62
2013, 7, 6,  394.98,  395.63
2013, 7, 7,  394.91,  395.64
2013, 7, 8,  394.84,  395.64
2013, 7, 9,  394.77,  395.65
2013, 7,10,  394.70,  395.66
2013, 7,11,  394.63,  395.66
2013, 7,12,  394.56,  395.67
2013, 7,13,  394.49,  395.68
2013, 7,14,  394.42,  395.68
2013, 7,15,  394.35,  395.69
2013, 7,16,  394.29,  395.70
2013, 7,17,  394.22,  395.70
2013, 7,18,  394.15,  395.71
2013, 7,19,  394.09,  395.72
2013, 7,20,  394.03,  395.72
2013, 7,21,  393.97,  395.73
2013, 7,22,  393.90,  395.74
2013, 7,23,  393.84,  395.74
2013, 7,24,  393.79,  395.75
2013, 7,25,  393.73,  395.76
2013, 7,26,  393.67,  395.77
2013, 7,27,  393.62,  395.77
2013, 7,28,  393.56,  395.78
2013, 7,29,  393.51,  395.79
2013, 7,30,  393.46,  395.79
2013, 7,31,  393.41,  395.80
2013, 8, 1,  393.36,  395.81
2013, 8, 2,  393.31,  395.81
2013, 8, 3,  393.27,  395.82
2013, 8, 4,  393.22,  395.83
2013, 8, 5,  393.18,  395.83
2013, 8, 6,  393.13,  395.84
2013, 8, 7,  393.09,  395.84
2013, 8, 8,  393.06,  395.85
2013, 8, 9,  393.02,  395.86
2013, 8,10,  392.98,  395.86
2013, 8,11,  392.95,  395.87
2013, 8,12,  392.91,  395.88
2013, 8,13,  392.88,  395.88
2013, 8,14,  392.85,  395.89
2013, 8,15,  392.82,  395.90
2013, 8,16,  392.80,  395.90
2013, 8,17,  392.77,  395.91
2013, 8,18,  392.75,  395.92
2013, 8,19,  392.73,  395.92
2013, 8,20,  392.71,  395.93
2013, 8,21,  392.69,  395.94
2013, 8,22,  392.67,  395.94
2013, 8,23,  392.66,  395.95
2013, 8,24,  392.64,  395.95
2013, 8,25,  392.63,  395.96
2013, 8,26,  392.62,  395.97
2013, 8,27,  392.61,  395.97
2013, 8,28,  392.61,  395.98
2013, 8,29,  392.60,  395.99
2013, 8,30,  392.60,  395.99
2013, 8,31,  392.60,  396.00
2013, 9, 1,  392.60,  396.01
2013, 9, 2,  392.61,  396.01
2013, 9, 3,  392.61,  396.02
2013, 9, 4,  392.62,  396.02
2013, 9, 5,  392.63,  396.03
2013, 9, 6,  392.64,  396.04
2013, 9, 7,  392.65,  396.04
2013, 9, 8,  392.67,  396.05
2013, 9, 9,  392.68,  396.06
2013, 9,10,  392.70,  396.06
2013, 9,11,  392.72,  396.07
2013, 9,12,  392.74,  396.07
2013, 9,13,  392.77,  396.08
2013, 9,14,  392.79,  396.09
2013, 9,15,  392.82,  396.09
2013, 9,16,  392.85,  396.10
2013, 9,17,  392.88,  396.10
2013, 9,18,  392.91,  396.11
2013, 9,19,  392.95,  396.12
2013, 9,20,  392.98,  396.12
2013, 9,21,  393.02,  396.13
2013, 9,22,  393.06,  396.14
2013, 9,23,  393.10,  396.14
2013, 9,24,  393.14,  396.15
2013, 9,25,  393.19,  396.15
2013, 9,26,  393.23,  396.16
2013, 9,27,  393.28,  396.17
2013, 9,28,  393.33,  396.17
2013, 9,29,  393.38,  396.18
2013, 9,30,  393.43,  396.18
2013,10, 1,  393.48,  396.19
2013,10, 2,  393.53,  396.20
2013,10, 3,  393.58,  396.20
2013,10, 4,  393.64,  396.21
2013,10, 5,  393.69,  396.21
2013,10, 6,  393.75,  396.22
2013,10, 7,  393.81,  396.22
2013,10, 8,  393.87,  396.23
2013,10, 9,  393.92,  396.24
2013,10,10,  393.98,  396.24
2013,10,11,  394.04,  396.25
2013,10,12,  394.10,  396.25
2013,10,13,  394.17,  396.26
2013,10,14,  394.23,  396.27
2013,10,15,  394.29,  396.27
2013,10,16,  394.35,  396.28
2013,10,17,  394.41,  396.28
2013,10,18,  394.48,  396.29
2013,10,19,  394.54,  396.29
2013,10,20,  394.60,  396.30
2013,10,21,  394.67,  396.31
2013,10,22,  394.73,  396.31
2013,10,23,  394.79,  396.32
2013,10,24,  394.85,  396.32
2013,10,25,  394.92,  396.33
2013,10,26,  394.98,  396.33
2013,10,27,  395.04,  396.34
2013,10,28,  395.11,  396.35
2013,10,29,  395.17,  396.35
2013,10,30,  395.23,  396.36
2013,10,31,  395.29,  396.36
2013,11, 1,  395.35,  396.37
2013,11, 2,  395.41,  396.37
2013,11, 3,  395.47,  396.38
2013,11, 4,  395.53,  396.39
2013,11, 5,  395.59,  396.39
2013,11, 6,  395.65,  396.40
2013,11, 7,  395.71,  396.40
2013,11, 8,  395.77,  396.41
2013,11, 9,  395.83,  396.41
2013,11,10,  395.88,  396.42
2013,11,11,  395.94,  396.43
2013,11,12,  396.00,  396.43
2013,11,13,  396.05,  396.44
2013,11,14,  396.11,  396.44
2013,11,15,  396.16,  396.45
2013,11,16,  396.21,  396.45
2013,11,17,  396.26,  396.46
2013,11,18,  396.32,  396.46
2013,11,19,  396.37,  396.47
2013,11,20,  396.42,  396.47
2013,11,21,  396.46,  396.48
2013,11,22,  396.51,  396.49
2013,11,23,  396.56,  396.49
2013,11,24,  396.61,  396.50
2013,11,25,  396.65,  396.50
2013,11,26,  396.70,  396.51
2013,11,27,  396.74,  396.51
2013,11,28,  396.78,  396.52
2013,11,29,  396.82,  396.52
2013,11,30,  396.87,  396.53
2013,12, 1,  396.91,  396.53
2013,12, 2,  396.94,  396.54
